Path 1:
  0.4520, -4.6735, 0.8190, 0.4520, -4.6735, 0.8190
  -1.7358, -4.9961, 0.0093, 0.4520, -4.6735, 0.8190
  2.2758, 5.7994, 1.1070, 2.2758, 5.7994, 1.1070
  -0.0536, 2.0590, 0.8202, 2.2758, 5.7994, 1.1070
  2.1539, 5.9990, 1.2884, 2.1539, 5.9990, 1.2884
  -1.7071, 0.2349, 0.2649, 2.1539, 5.9990, 1.2884
  1.4209, -1.9627, 0.4811, 2.1539, 5.9990, 1.2884
  -3.1077, 3.3583, 0.0331, 2.1539, 5.9990, 1.2884
  2.3038, -6.9204, 0.4752, 2.1539, 5.9990, 1.2884
  -4.9338, 5.2130, 0.2428, 2.1539, 5.9990, 1.2884
  1.8447, -1.2135, 0.3067, 2.1539, 5.9990, 1.2884
  1.9821, -1.3163, 0.2943, 2.1539, 5.9990, 1.2884
  -7.6227, 5.8899, 3.3006, -7.6227, 5.8899, 3.3006
  2.8060, -4.4667, 1.8252, -7.6227, 5.8899, 3.3006
  5.4480, 2.0357, 0.0537, -7.6227, 5.8899, 3.3006
  7.6060, 4.8494, 2.2426, -7.6227, 5.8899, 3.3006
  -4.3939, -6.0788, 0.3767, -7.6227, 5.8899, 3.3006
  7.7347, 4.2624, 1.3874, -7.6227, 5.8899, 3.3006
  6.7458, -7.8611, 2.0810, -7.6227, 5.8899, 3.3006
  2.7345, 7.3825, 1.9856, -7.6227, 5.8899, 3.3006
  6.5076, -2.0658, 1.0111, -7.6227, 5.8899, 3.3006
  4.2369, -7.8005, 2.6760, -7.6227, 5.8899, 3.3006
  0.9594, -6.2486, 0.1899, -7.6227, 5.8899, 3.3006
  2.4615, 1.2796, 0.5791, -7.6227, 5.8899, 3.3006
  3.1438, -0.4071, 0.1969, -7.6227, 5.8899, 3.3006
  5.6818, -0.6246, 0.1304, -7.6227, 5.8899, 3.3006
  6.0359, -4.3834, 0.4277, -7.6227, 5.8899, 3.3006
  -3.3990, -7.2739, 0.1062, -7.6227, 5.8899, 3.3006
  2.9504, -0.9527, 0.1722, -7.6227, 5.8899, 3.3006
  0.6331, -4.2662, 1.2643, -7.6227, 5.8899, 3.3006
  6.2335, 6.7094, 3.3786, 6.2335, 6.7094, 3.3786

